datetime,num_rows,runtime,num_processors
20241108-230453,35,13.200687170028687,6
20241108-231007,70,18.3905987739563,6
20241108-231711,696,102.58012413978577,6
20241108-232315,1392,301.2520020008087,6
20241108-233142,1392,438.2248890399933,6
20241109-133206,1392,152.1681628227234,6
20241112-164853,348,43.99363827705383,6
